-7.629627e-03,
-1.281777e-03,
8.819849e-03,
-4.852443e-03,
-9.247108e-03,
-1.309244e-02,
3.967406e-04,
-2.990814e-03,
3.662221e-04,
-1.403851e-03,
-1.376385e-02,
-1.031526e-02,
-1.165807e-02,
-1.208533e-02,
-1.205481e-02,
-1.089511e-02,
-1.138340e-02,
-9.033479e-03,
-8.728294e-03,
-9.308145e-03,
-1.202429e-02,
-1.263466e-02,
-5.615406e-03,
-9.399701e-03,
-6.256294e-03,
-7.080294e-03,
-2.807703e-03,
4.608295e-03,
-4.150517e-03,
-3.967406e-04,
6.805628e-03,
-8.239998e-04,
-3.143406e-03,
9.155553e-04,
-1.648000e-03,
2.990814e-03,
-9.826960e-03,
-9.155553e-05,
1.281777e-03,
-4.028443e-03,
1.525925e-03,
1.617481e-03,
-1.892148e-03,
-4.913480e-03,
2.685629e-03,
7.629627e-03,
-5.615406e-03,
-8.728294e-03,
-5.340739e-03,
-8.575701e-03,
-9.887997e-03,
-1.992859e-02,
-1.223792e-02,
-1.220740e-03,
3.051851e-04,
-8.789331e-03,
-9.887997e-03,
-7.049776e-03,
-6.988739e-03,
1.190222e-03,
9.949034e-03,
7.629627e-04,
-4.577776e-03,
-1.400800e-02,
-4.669332e-03,
1.953185e-03,
8.667257e-03,
9.582812e-03,
4.333628e-03,
-4.882962e-04,
-9.460738e-04,
-5.188147e-04,
8.484146e-03,
9.491256e-03,
1.162755e-02,
1.037629e-03,
3.021332e-03,
2.288888e-03,
2.197333e-03,
2.929777e-03,
-7.415998e-03,
-1.458785e-02,
-1.220740e-02,
-1.046785e-02,
-4.791406e-03,
-9.247108e-03,
7.232887e-03,
3.357036e-04,
-4.455702e-03,
-1.232948e-02,
-1.004059e-02,
-1.031526e-02,
2.380444e-03,
2.105777e-03,
4.150517e-03,
5.920591e-03,
1.001007e-02,
6.225776e-03,
3.753777e-03,
7.812738e-03,
2.563555e-03,
-2.990814e-03,
-1.055940e-02,
8.667257e-03,
1.861629e-03,
1.022370e-02,
6.073183e-03,
9.949034e-03,
6.897183e-03,
1.361126e-02,
1.446577e-02,
1.507614e-02,
1.602222e-02,
1.602222e-02,
1.846370e-02,
2.340770e-02,
1.712088e-02,
2.063051e-02,
2.069155e-02,
2.536088e-02,
2.255318e-02,
2.200385e-02,
2.133244e-02,
2.270577e-02,
1.974548e-02,
2.197333e-02,
2.883999e-02,
1.907407e-02,
2.154607e-02,
2.694784e-02,
1.995911e-02,
2.151555e-02,
2.182074e-02,
1.901303e-02,
1.348918e-02,
1.580859e-02,
1.898251e-02,
2.117985e-02,
1.669363e-02,
1.467940e-02,
5.035554e-03,
9.399701e-03,
1.886044e-02,
2.291940e-02,
1.492355e-02,
1.416059e-02,
9.796442e-03,
5.645924e-03,
6.714072e-03,
2.960295e-03,
9.094516e-03,
1.351970e-02,
1.773125e-02,
6.775109e-03,
6.744591e-03,
7.599109e-03,
6.530961e-03,
9.369182e-03,
1.055940e-02,
1.116977e-02,
1.187170e-02,
9.125034e-03,
8.789331e-03,
1.318400e-02,
1.898251e-02,
1.812799e-02,
1.565600e-02,
1.007111e-02,
5.798517e-03,
8.850368e-04,
1.052889e-02,
-2.410962e-03,
3.112888e-03,
1.031526e-02,
9.979553e-03,
1.037629e-02,
7.812738e-03,
9.399701e-03,
2.105777e-03,
-3.692740e-03,
-9.033479e-03,
-6.073183e-03,
6.012146e-03,
7.629627e-03,
8.087405e-03,
7.202368e-03,
3.845332e-03,
-2.410962e-03,
4.913480e-03,
6.805628e-03,
4.119999e-03,
5.066073e-03,
3.021332e-03,
2.197333e-03,
7.354961e-03,
8.697775e-03,
-7.019257e-04,
-1.800592e-03,
-7.263405e-03,
-1.861629e-03,
2.685629e-03,
3.509629e-03,
8.178961e-03,
3.967406e-03,
3.295999e-03,
6.347850e-03,
8.514664e-03,
8.667257e-03,
8.911405e-03,
